"trackID","artistName","trackName","albumName"
"67UYyEvzyi7xt86pyA8o5k","Rush","Cygnus X-1: Book II Hemispheres - The Sphere (A Kind Of Dream) - Live At Pinkpop Festival, Netherlands/1979","Hemispheres"
"4LqOOZcWio12i6NQiVA1Ab","Rush","Closer To The Heart - Live At Pinkpop Festival, Netherlands/1979","Hemispheres"
"0hBby0yygBY1u3m6tSpZgC","Rush","The Camera Eye","Moving Pictures"
"1k0GxoZYv3Yx5mNeXMOZN2","Rush","Vital Signs","Moving Pictures"
"4f6CJbnASHEtQspSwqoYlr","Rush","The Big Money","Power Windows"
"3uQDfCKlwfK9Yz10JFcsC7","Rush","Manhattan Project","Power Windows"
"3wBqON2EX3QFDyFLvl1Tcv","Rush","Mystic Rhythms","Power Windows"
"1uqGSvSc207Zlgi4sGr9RQ","Rush","Time Stand Still","Hold Your Fire"
"2B36scXmm2xG35ILOJMmxf","Rush","Force Ten","Hold Your Fire"
"0TfPS1dhsUTGISdvXAoPES","Rush","Presto - 2004 Remaster","Presto"
"40UDRU6xIODKg1NStpayEt","Rush","War Paint - 2004 Remaster","Presto"
"4QzFXz0zLYh1R7GU8PFNHa","Rush","Chain Lightning - 2004 Remaster","Presto"
"1hM2HXmeYuEe1VTf0O1IFU","Rush","Dreamline - 2004 Remaster","Roll the Bones"
"5uORXVBCCN45rbW5LOuurt","Rush","Animate - 2004 Remaster","Counterparts"
"4ie9a7aQFIUFnOOTeZxtLc","Rush","YYZ - Rio Live","Rush in Rio"
"1Eh0FDAab5TnUdsBquNGRp","Rush","The Pass - Rio Live","Rush in Rio"
"5qItIJ3clfXYXPF8D9h0AQ","Rush","Ghost Rider - Rio Live","Rush in Rio"
"3uBiydBKLwlAk9f3lICpVo","Rush","The Main Monkey Business - Instrumental","Snakes & Arrows"
"2cGFkKCnNlehBR2CKkjXAF","Rush","Available Light - 2004 Remaster","Presto"
"5gjLmSIlvHJjCN7qKTnoqi","Rush","Anagram - 2004 Remaster","Presto"
"3VtrcsvEp3RIwg87GOui3q","Rush","Heart Full of Soul","Feedback"
"3HIvUCPsvELgIW7GNrXyK5","Rush","For What It's Worth","Feedback"
"5dkfF6T8QH5myWNt7GUHeo","Rush","Mr. Soul","Feedback"
"6gMIafMZuSDsLuCfEJhbln","Rush","Shapes of Things","Feedback"
"2LJnqa6OFoKrMdx84CYfGh","Rush","You Bet Your Life - 2004 Remaster","Roll the Bones"
"1OGE2P7Cl86gRC3v7OuiU6","Rush","Resist - R30 Live Version","R30"
"6LEBH45mfp7GOsCWT317Fj","Rush","Resist - Acoustic; Rio Live","Rush in Rio"
"02aF3npr51MbXFKvailv0m","Rush","Heart Full of Soul - R30 Live Version","R30"
"1DpppbKBTc83vX2sb3k3tc","Rush","Resist - 2004 Remaster","Test for Echo"
"0M7oqERflkrJVHD3IAZqxo","Blue Öyster Cult","Cities On Flame with Rock and Roll","Blue Oyster Cult"
